20230704	15:29:40	4f9854f3-84ef-498c-b0d9-7953948df203	GET	 undefined	 /new-page
20230704	15:29:40	81482b83-945a-4836-a6aa-79fd05400cad	GET	 undefined	 /css/style.css
20230704	15:29:40	bad82d37-69ef-4040-aa2e-f92caf49a8d6	GET	 undefined	 /img/img.jpg
20230704	15:30:14	d6301564-cfa5-4bbf-ba5e-8f96af1b4bb0	OPTIONS	 https://www.google.com	 /new-page
20230704	15:30:14	58eb17fe-f226-4526-8e0c-7d4d16c580cd	GET	 https://www.google.com	 /new-page
20230704	15:54:11	9b0af03d-20fc-413d-a27b-1f8a6585076c	GET	 undefined	 /new-page
20230704	15:54:11	319f8719-699d-4f11-abe6-c7514c077ef7	GET	 undefined	 /img/img.jpg
20230704	15:54:11	4dea182b-d08e-4cdf-a68f-be696e897c5b	GET	 undefined	 /css/style.css
20230704	16:09:46	1e867d91-e3f5-435e-8f6d-f7476eeabb09	OPTIONS	 https://www.google.com	 /new-page
20230704	16:09:46	5a393d83-cd8c-4c6c-880e-1ffd267f44d6	GET	 https://www.google.com	 /new-page
20230704	16:11:02	d0f63936-8f27-498b-a69a-8555e228ab66	OPTIONS	 https://www.google.com	 /new-page
20230704	16:11:02	ce47e6e0-37c9-437f-b078-6010b786abf8	GET	 https://www.google.com	 /new-page
20230704	20:42:33	bbb03647-8695-470c-ab25-95cc8cb911c5	GET	 undefined	 /new-page
20230704	20:42:35	9fea9d08-eb3f-48af-8a73-1744d76979e4	GET	 undefined	 /new-page
20230704	20:44:28	63afaadb-fee0-40e9-85e7-2bd73acda484	GET	 undefined	 /new-page
20230704	20:44:32	b86e4252-c569-4309-a6e7-e69f333c2cc3	GET	 undefined	 /
20230704	20:46:15	3e346183-8908-457e-9a01-a75a3e944610	GET	 undefined	 /
20230704	20:51:08	dc97a8ac-ef80-4ced-a81b-820daf5147e7	GET	 undefined	 /
20230704	20:51:43	e682ef66-08cc-48ac-b288-73aa2260212c	GET	 undefined	 /
20230704	20:51:44	85f0854c-c099-4575-b581-b8f8ae042b34	GET	 undefined	 /
20230704	20:52:25	61430191-ffb7-4463-9266-722c0d4a0d16	GET	 undefined	 /
20230704	20:52:27	5099c261-82cb-4860-83d0-fb2cf8b0b1ec	GET	 undefined	 /
20230704	20:52:33	8b1e851f-1b17-4902-9c20-9109d731adba	GET	 undefined	 /new-page.html
20230704	20:52:33	bb5ff6e8-b618-4563-97a4-36e091f3dd1a	GET	 undefined	 /new-page.html
20230704	20:54:05	285c8291-7b79-453e-b266-08fb75b1d2ad	GET	 undefined	 /new-page.html
20230704	20:54:24	535146d7-4fcd-4b58-9b70-7c0f4bc0933c	GET	 undefined	 /new-page.html
20230704	20:54:25	6ac10851-1dfc-4cb6-95f8-a495352f4445	GET	 undefined	 /new-page.html
20230804	15:47:34	65317fea-dec2-45a0-a035-dda0abdafec9	GET	 undefined	 /
20230804	15:48:17	a72defcf-96e9-4d4d-9ecd-96b60e3846ea	GET	 undefined	 /
20230804	15:51:32	9341ec34-d7b1-4f66-83b2-f4c70158c136	GET	 undefined	 /
20230804	15:53:07	8f547162-d873-40fb-a16c-16af2b38ad2c	GET	 undefined	 /
20230804	15:53:10	8228b199-e42b-4bed-9c21-7063d7b6c87e	GET	 undefined	 /
20230804	15:54:05	80276e93-1199-493a-8871-cefe01d1f2a1	GET	 undefined	 /
20230804	15:55:41	63934797-a5ea-42fe-ba74-508706f2de39	GET	 undefined	 /index
20230804	15:56:37	bd22f39d-8d97-45e2-9795-07a740455198	GET	 undefined	 /
20230804	15:57:36	3755072d-243c-4346-8bfa-551aeb5da7cc	GET	 undefined	 /
20230804	15:57:38	32838907-d678-4315-a130-12b9c815d8bf	GET	 undefined	 /
20230804	15:57:39	7daf16f6-60ea-49db-b88d-afd42135ec87	GET	 undefined	 /
20230804	16:00:22	fff1fb45-6493-4e92-9cac-11bac793a998	GET	 undefined	 /
20230804	16:00:25	6c2890f9-70da-4ab3-ad4b-de1e94bae8ac	GET	 undefined	 /
20230804	16:01:48	8195a6d4-0e22-4f69-9eeb-6076a9fdd1d1	GET	 undefined	 /
20230804	16:01:52	d5ab6793-6bb4-4269-b347-2b5f11d1f372	GET	 undefined	 /
20230804	16:01:55	a8512e96-15b8-49be-9b86-1f476dd3242e	GET	 undefined	 /
20230804	16:03:11	b1004ac9-e657-494e-8680-67e9859d144d	GET	 undefined	 /
20230804	16:03:39	e2ffe1a8-7779-4aae-8b81-cf8aa7d5252d	GET	 undefined	 /
20230804	16:03:39	7e5b5f02-6de5-4086-b55d-45cbd1e38485	GET	 undefined	 /
20230804	16:04:30	dfbd6692-ed2d-4285-ab99-2c1d505fb5f8	GET	 undefined	 /
20230804	16:04:36	b662fad8-7b76-4f38-bde4-e67c861502dc	GET	 undefined	 /
20230804	16:04:55	4ff5409c-7924-4ba1-b90b-3e6f64501711	GET	 undefined	 /
20230804	16:05:10	142371ac-5a70-4d85-93ea-dda1f8c8be6b	GET	 undefined	 /
20230804	16:05:11	195cca86-f464-4c8d-ac6a-5e8fa9bb5e3a	GET	 undefined	 /css/style.css
20230804	16:05:12	05a9fce0-adcb-449c-92ea-32606e5e805b	GET	 undefined	 /
20230804	16:05:12	656b1507-2c0c-4adf-b9a7-f6ec51be67a4	GET	 undefined	 /css/style.css
20230804	16:05:49	575af9ee-6f0e-4f18-964b-4617a0a7bf15	GET	 undefined	 /
20230804	16:05:51	46e2481c-2bb5-40d7-8f7b-731f97e62eb3	GET	 undefined	 /
20230804	16:06:02	02a199e0-9bcf-47bb-af6a-8d7b42151f4a	GET	 undefined	 /
20230804	16:06:07	bdc9aae1-cb7b-4a5e-8983-d4ff7b67cf54	GET	 undefined	 /
20230804	16:06:49	ff8b85f9-7b92-4a30-90a9-f00e3adfa2c9	GET	 undefined	 /
20230804	16:06:50	78dbe671-3e3c-4bde-ac41-7b1316b856fc	GET	 undefined	 /
20230804	16:07:06	9a067681-f1c9-496d-b7e2-c4a8610a8ed8	GET	 undefined	 /index.html
20230804	16:07:37	080dd01a-23eb-4bba-b858-b1b30c9cae35	GET	 undefined	 /index.html
20230804	16:07:43	5a4a67c0-4f3c-460e-8c54-406a5a313df0	GET	 undefined	 /index
20230804	16:07:46	bcca5703-bab4-440f-b0a1-453f24565ed7	GET	 undefined	 /
20230804	16:08:14	1931f96e-1f98-4ab4-ac07-9a464bf6bcf1	GET	 undefined	 /index
20230804	16:09:08	1bafb3b2-039d-49ba-b316-e14ea3be0c51	GET	 undefined	 /index
20230804	16:09:14	9636c90e-aecd-49e2-b2b8-56f19636f9b9	GET	 undefined	 /
20230804	16:09:17	854e0316-4b04-45f7-8f67-e26a0c7f804f	GET	 undefined	 /
20230804	16:09:39	6b9d005a-bb9c-4330-989c-0d04d4f17ad9	GET	 undefined	 /
20230804	16:09:39	4a9dc04f-755b-4898-ae72-f25accfd3475	GET	 undefined	 /css/style.css
20230804	16:10:35	94b150e4-d10b-4752-8163-2319a3e6c6eb	GET	 undefined	 /index
20230804	16:10:35	962793be-da7d-4117-b725-cf3baf733495	GET	 undefined	 /css/style.css
20230804	16:11:06	bdc30d1e-19da-41cb-9764-850e8f126bab	GET	 undefined	 /new-page
20230804	16:11:06	b00768be-6404-4f63-b69b-edb3dc5cda51	GET	 undefined	 /img/img.jpg
20230804	16:11:06	ac2aa63d-0fd5-4c65-b4aa-94e4a5e2eeeb	GET	 undefined	 /css/style.css
20230804	16:12:49	cd833edd-2e9f-4438-b949-b210cc8daa8a	OPTIONS	 https://www.google.com	 /
20230804	16:12:49	4d9c1706-a99b-491f-b99a-b1fa4bc369aa	GET	 https://www.google.com	 /
20230804	16:13:26	dcff21ca-a213-4a85-bb96-9d5538c2f910	OPTIONS	 https://www.google.com	 /
20230804	16:13:26	f61933b6-7830-4fee-826c-d0fe2cbd78ec	GET	 https://www.google.com	 /
20230804	16:13:59	c2a8e335-3e99-43aa-851b-65b33f4b70be	GET	 undefined	 /new-page
20230804	16:14:49	84e6743d-7207-4ee0-b314-6454600095bf	GET	 undefined	 /new-page
